kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
YLZ-25218;CZ00034d;TFT60;1,51$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2618;28;;300 DEN FDY RENKLÝ;1302;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25219;CZ00034d;TFT60;2,15$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2091;28;;300 DEN FDY RENKLÝ;1829;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25243;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1188;26;;300 DEN FDY RENKLÝ;1386;26;;;;;;;;;;;;;;;;;;;;;;;;;;% 17;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;288 gr;1,07 $;APRE;0,80  $;0,50 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25254;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2618;28;;300 DEN FDY RENKLÝ;1302;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25255;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2524;28;;300 DEN FDY RENKLÝ;1396;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25256;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2100;28;;300 DEN FDY RENKLÝ;2100;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25263;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2370;28;;300 DEN FDY RENKLÝ;1550;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25283;CZ00034d;TFT60;2,22$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;29,1/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1312;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1223;24;;PARLAK TAKVÝYESÝZ SÝM;1536;32;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,60 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;234 gr;1,06 $;APRE;0,80  $;0,46 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25303;CZ00034d;TFT60;1,79$;12.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1960;28;;300 DEN FDY RENKLÝ;1960;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25307;CZ00034d;TFT60;1,58$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;26,6/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;864;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;816;24;;PARLAK TAKVÝYESÝZ SÝM;1069;32;;;;;;;;;;;;;;;;;;;;;;% 11;JAKAR;0,055 $;1,46 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;212 gr;0,96 $;APRE;0,80  $;0,44 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25323;CZ00034d;TFT60;4,23$;12.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2660;28;;300 DEN FDY RENKLÝ;1260;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25340;CZ00034d;TFT60;4,34$;12.01.25;(034d) TAFTA 60'lý 150 Turlu;27,9/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1012;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1680;24;;300 DEN FDY RENKLÝ;1076;32;;;;;;;;;;;;;;;;;;;;;;% 6;JAKAR;0,055 $;1,53 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;308 gr;1,14 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25350;CZ00034d;TFT60;3,10$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;24,1/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2448;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;828;24;;300 DEN FDY RENKLÝ;98;28;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,33 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;267 gr;0,99 $;APRE;0,80  $;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25351;CZ00034d;TFT60;3,14$;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2876;28;;300 DEN FDY RENKLÝ;1044;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
