kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
3002;CZ00061;TRI40;2,59$;13.05.25;(061) TERGAL 40'lý;42,0/cm;305cm;52m²;%100 PES;50 DEN 1000 TUR (ALFA);42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 2;ARMÜR;0,030 $;1,26 $;ÇÖZGÜ ÝPLÝK;078 gr;0,55 $;ATKI ÝPLÝK;082 gr;0,59 $;APRE;0,80  $;0,13 $;;;;;;;;;;;;;;;;;;;;;;;;;;
3003;CZ00061;TRI40;1,15$;13.05.25;(061) TERGAL 40'lý;42,0/cm;305cm;69m²;%100 PES;80 DEN 350 TUR HAM PARLAK;21;42;;80 DEN 350 TUR HAM PARLAK;21;42;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;078 gr;0,55 $;ATKI ÝPLÝK;131 gr;;TEK BOYA;1,80  $;0,38 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
3200;CZ00017;SMG60;4,84$;13.05.25;(017) MICRO 60'lý;26,0/cm;305cm;153m²;%100 PES;150 DEN DÜZENSÝZ KATYONÝK;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 31;ARMÜR;0,030 $;0,78 $;ÇÖZGÜ ÝPLÝK;315 gr;1,20 $;ATKI ÝPLÝK;152 gr;0,58 $;KATYONÝK BOYA;2,40  $;1,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
3300;CZ00017;SMG60;3,42$;13.05.25;(017) MICRO 60'lý;21,0/cm;305cm;183m²;%100 PES;300 DEN DÜZENSÝZ IMG KATYONÝK;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;315 gr;1,20 $;ATKI ÝPLÝK;242 gr;0,65 $;ÇÝFT BOYA;2,50  $;1,39 $;;;;;;;;;;;;;;;;;;;;;;;;;;
5559;CZ00010;TFT57;2,35$;13.05.25;(010) ARMÜR TAFTA;21,6/cm;;;%100 PES;150 DEN 48 F PES TEKS PARLAK;12;36;;150 DEN 48 F PES TEKS PARLAK;12;36;;5.2 NM AKRÝLÝK ÞÖNÝL;6;12;;5.2 NM AKRÝLÝK ÞÖNÝL;6;12;;;;;;;;;;;;;;;;;;% 5;ARMÜR;0,030 $;0,65 $;ÇÖZGÜ ÝPLÝK;160 gr;0,77 $;ATKI ÝPLÝK;541 gr;0,24 $;APRE;0,80  $;0,56 $;;;;;;;;;;;;;;;;;;;;;;;;;;
6802;CZ00013;TRG30;1,88$;13.05.25;(013) TERGAL 30'lu;40,0/cm;;;%100 PES;20 DEN HAM PARLAK;20;40;;20 DEN HAM PARLAK;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;1,12 $;ÇÖZGÜ ÝPLÝK;076 gr;0,24 $;ATKI ÝPLÝK;031 gr;0,17 $;APRE;0,80  $;0,09 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
10217;CZ00015;TFT90;3,85$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%98 PES %2 MTL;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3720;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3720;38;;300 DEN ÇEKEN ;1240;38;;PARLAK TAKVÝYESÝZ SÝM;1170;38;;;;;;;;;;;;;;;;;;% 19;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;345 gr;1,36 $;ÇEKEN APRE;1,00  $;0,61 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10218;CZ00015;TFT90;3,46$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1560;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1560;38;;300 DEN ÇEKEN ;520;38;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;375 gr;1,39 $;ÇEKEN APRE;1,00  $;0,64 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10224;CZ00015;TFT90;4,05$;13.05.25;(015) TAFTA 90'lý;50,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN ÇEKEN ;160;50;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;494 gr;1,83 $;ÇEKEN APRE;1,00  $;0,75 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10227;CZ00015;TFT90;3,33$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1620;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1620;38;;300 DEN ÇEKEN ;540;38;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;375 gr;1,39 $;APRE;0,80  $;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22083;CZ00034;TFT60;5,80$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;227m²;%92 PES %8 PAM;20/2 NE KESÝKELYAF RENKLÝ;11;22;;20/1 NE POLYESTER - PAMUK RENKLÝ;11;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;337 gr;2,35 $;APRE;0,80  $;0,55 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22085;CZ00034;TFT60;4,16$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;154m²;%88 PES %12 PAM;10/1 NE KESÝKELYAF FLAM RENKLÝ;1060;22;;20/1 NE POLYESTER - PAMUK RENKLÝ;1060;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;112 gr;0,96 $;APRE;0,80  $;0,38 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22086;CZ00034;TFT60;3,14$;13.05.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;305cm;117m²;%100 PES;8/1 NE KESÝK ELYAF FLAM;18;24;;300/96 DEN PES FDY PARLAK RENKLÝ;6;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,32 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;APRE;0,80  $;0,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22088;CZ00034;TFT60;5,72$;13.05.25;(034) TAFTA 60'lý 150 Turlu;25,0/cm;305cm;248m²;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;125;25;;20/2 NE KESÝKELYAF RENKLÝ;125;25;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,38 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;399 gr;2,11 $;APRE;0,80  $;0,60 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22090;CZ00034;TFT60;4,78$;13.05.25;(034) TAFTA 60'lý 150 Turlu;23,0/cm;305cm;194m²;%100 PES;20/2 NE KESÝKELYAF RENKLÝ;115;23;;300/96 DEN PES TEX PARLAK;39;23;;20/1 NE PES PAMUK RENKLÝ;76;23;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;235 gr;1,45 $;APRE;0,80  $;0,47 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22091;CZ00034;TFT60;4,80$;13.05.25;(034) TAFTA 60'lý 150 Turlu;28,0/cm;305cm;183m²;%91 PES %9 PAM;8/1 NE KESÝK ELYAF FLAM;93;28;;20/1 NE POLYESTER - PAMUK RENKLÝ;93;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;93;28;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;203 gr;1,22 $;APRE;0,80  $;0,45 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22094;CZ00034;TFT60;3,76$;13.05.25;(034) TAFTA 60'lý 150 Turlu;18,0/cm;305cm;147m²;%90 PES %10 PAM;8/1 NE KESÝK ELYAF FLAM;90;18;;20/1 NE POLYESTER - PAMUK RENKLÝ;90;18;;;;;;;;;;;;;;;;;;;;;;;;;;% 6;JAKAR;0,055 $;0,99 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;092 gr;0,79 $;APRE;0,80  $;0,36 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22095;CZ00034;TFT60;5,93$;13.05.25;(034) TAFTA 60'lý 150 Turlu;23,0/cm;305cm;232m²;%92 PES %8 PAM;20/2 NE KESÝKELYAF RENKLÝ;115;23;;20/1 NE POLYESTER - PAMUK RENKLÝ;115;23;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;352 gr;2,46 $;APRE;0,80  $;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22096;CZ00034;TFT60;2,64$;13.05.25;(034) TAFTA 60'lý 150 Turlu;14,0/cm;305cm;117m²;%100 PES;150/48 DEN PES TEX PARLAK RENKLÝ;7;14;;5 NM PES MICRO ÞÖNÝL RENKLÝ;7;14;;;;;;;;;;;;;;;;;;;;;;;;;;% 7;JAKAR;0,055 $;0,77 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;APRE;0,80  $;0,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22098;CZ00034;TFT60;3,05$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;117m²;%100 PES;8/1 NE KESÝK ELYAF FLAM;11;22;;300/96 DEN PES TEX PARLAK;11;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;APRE;0,80  $;0,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22099;CZ00034;TFT60;3,14$;13.05.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;305cm;117m²;%100 PES;300/96 DEN PES TEX PARLAK;750;24;;20/1 NE PES PAMUK;500;24;;7 NM PES ÞÖNÝL;250;24;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,32 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;APRE;0,80  $;0,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22100;CZ00034;TFT60;2,42$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;160m²;%100 PES;8/1 NE KESÝK ELYAF FLAM;11;22;;300/96 DEN PES FDY PARLAK;11;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;0,62 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;130 gr;0,28 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22101;CZ00034;TFT60;1,93$;13.05.25;(034) TAFTA 60'lý 150 Turlu;14,0/cm;305cm;117m²;%100 PES;150/48 DEN PES TEX;500;14;;7 NM PES ÞÖNÝL;250;14;;;;;;;;;;;;;;;;;;;;;;;;;;% 7;REGÜLE;0,028 $;0,39 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22102;CZ00034;TFT60;1,93$;13.05.25;(034) TAFTA 60'lý 150 Turlu;14,0/cm;305cm;117m²;%100 PES;150/48 DEN PES TEX;440;14;;7 NM PES ÞÖNÝL;220;14;;;;;;;;;;;;;;;;;;;;;;;;;;% 7;REGÜLE;0,028 $;0,39 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22103;CZ00034;TFT60;2,13$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;117m²;%100 PES;20/2 NE KESÝK ELYAF;1;22;;150/48 DEN PES TEX;1;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;0,62 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22104;CZ00034;TFT60;2,13$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;117m²;%100 PES;20/2 NE KESÝK ELYAF;1;22;;20/1 NE PES PAMUK;1;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;0,62 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22107;CZ00034;TFT60;1,97$;13.05.25;(034) TAFTA 60'lý 150 Turlu;16,0/cm;305cm;117m²;%100 PES;150/48 DEN PES TEX;360;16;;7 NM PES ÞÖNÝL;180;16;;;;;;;;;;;;;;;;;;;;;;;;;;% 6;REGÜLE;0,028 $;0,45 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22132;CZ00034;TFT60;2,03$;13.05.25;(034) TAFTA 60'lý 150 Turlu;18,0/cm;305cm;117m²;%100 PES;8/1 NE KESÝK ELYAF FLAM RENKLÝ;360;18;;20/1 NE PES PAMUK RENKLÝ;360;18;;;;;;;;;;;;;;;;;;;;;;;;;;% 6;REGÜLE;0,028 $;0,50 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22145;CZ00034;TFT60;2,17$;13.05.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;305cm;117m²;%100 PES;150/48 DEN PES TEX;620;24;;7 NM PES ÞÖNÝL;310;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45324;0;;;12.01.25;;4,0/cm;;;;2,5 NM MANAS GL-1270;1;4;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45353;0;;;12.01.25;;5,0/cm;;;;3,7 NM MD-9639;1;5;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45384;0;;;12.01.25;;4,0/cm;;;;3,7 NM MD-9639;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45444;0;;;12.01.25;;5,0/cm;;;;2,2 NM KAYILA GL-1263;1;5;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45477;0;;;12.01.25;;5,0/cm;;;;5 NM NEPAL GL-1271;1;5;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45537;0;;;12.01.25;;3,0/cm;;;;2 NM ALTAY GL-1260;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45566;0;;;12.01.25;;3,5/cm;;;;2 NM ALTAY GL-1260;1;3,5;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45597;0;;;12.01.25;;5,0/cm;;;;8,4 NM ARZU GL-67;1;5;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;0,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45629;0;;;12.01.25;;4,0/cm;;;;8,4 NM ARZU GL-67;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77067;CZ00013;TRG30;1,97$;13.01.25;(013) TERGAL 30'lu;40,0/cm;305cm;35m²;;20 DEN HAM PARLAK;20;40;;20 DEN HAM PARLAK;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;ARMÜR;0,030 $;1,20 $;ÇÖZGÜ ÝPLÝK;076 gr;0,24 $;ATKI ÝPLÝK;031 gr;0,17 $;APRE;0,80  $;0,09 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
77068;CZ00013;TRG30;1,96$;13.05.25;(013) TERGAL 30'lu;40,0/cm;300cm;35m²;%100 PES;20 DEN HAM PARLAK;20;40;;20 DEN HAM PARLAK;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;ARMÜR;0,030 $;1,20 $;ÇÖZGÜ ÝPLÝK;076 gr;0,24 $;ATKI ÝPLÝK;031 gr;0,17 $;APRE;0,80  $;0,09 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
77068;CZ00075;TRG40;2,41$;27.04.25;(075) TERGAL 40'lý;28,0/cm;300cm;97m²;;70/800 T (TERGAL ATKISI);2;28;;300 DENYE+50 DEN KATLAMA;1;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;ARMÜR;0,030 $;0,84 $;ÇÖZGÜ ÝPLÝK;103 gr;0,33 $;ATKI ÝPLÝK;188 gr;0,73 $;APRE;0,80  $;0,23 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
77069;CZ00013;TRG30;2,06$;07.05.25;(013) TERGAL 30'lu;29,0/cm;300cm;80m²;;70/800 T (TERGAL ATKISI);2;29;;300 DEN KATLAMA (FLAM);1;29;;;;;;;;;;;;;;;;;;;;;;;;;;% 3;ARMÜR;0,030 $;0,87 $;ÇÖZGÜ ÝPLÝK;076 gr;0,24 $;ATKI ÝPLÝK;163 gr;0,52 $;APRE;0,80  $;0,19 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
77090;CZ00012;TRG30;;12.01.25;(012) TERGAL 30'lu;42,0/cm;;;;75 DEN 36 F 650 TUR HAM PARLAK;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;1,18 $;ÇÖZGÜ ÝPLÝK;073 gr;0,24 $;ATKI ÝPLÝK;119 gr;0,59 $;APRE;0,80  $;0,15 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
101000;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;35,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1360;35;;150 DEN ÇEKEN ;340;35;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;364 gr;1,35 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101309;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1040;38;;150 DEN ÇEKEN ;260;38;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;395 gr;1,46 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101344;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1520;38;;150 DEN ÇEKEN ;380;38;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;395 gr;1,46 $;ÇEKEN APRE;1,00  $;0,66 $;;;;;;;;;;;;;;;;;;;;;;;;;;
120003;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;400;24;;300 DEN FDY RENKLÝ;400;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;APRE;0,80  $;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;
120006;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;24;;300 DEN FDY RENKLÝ;320;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120007;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;240;24;;300 DEN FDY RENKLÝ;240;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120016;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120017;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120018;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;12;24;;300/96 DEN PES FDY PARLAK RENKLÝ;12;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120019;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;12;24;;300/96 DEN PES FDY PARLAK RENKLÝ;12;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120020;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120021;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120023;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
